iter	RMSE
0	1100966.875
1	1014334.526
2	936233.6023
3	867915.9483
4	805577.2847
5	749946.0132
6	696098.3945
7	649784.1585
8	603445.0219
9	564675.5951
10	522040.9833
11	486084.9578
12	452621.7457
13	422208.9113
14	396335.1673
15	367831.2912
16	345501.7487
17	323139.3343
18	302879.7278
19	283506.8257
20	266995.5084
21	248342.8976
22	233836.6715
23	221447.8419
24	209230.268
25	198339.6287
26	187088.5713
27	177003.9394
28	168312.6721
29	160653.8161
30	151966.2515
31	145451.3025
32	140012.869
33	134864.5844
34	130385.5062
35	125369.3056
36	120763.9915
37	116590.9795
38	112912.2682
39	109586.3368
40	106601.0312
41	104040.7568
42	101038.0904
43	98714.90638
44	96873.19953
45	94975.54954
46	93451.63501
47	92157.54035
48	90720.94793
49	89351.03245
50	88138.54456
51	87268.06275
52	86038.25569
53	84884.37734
54	83675.70528
55	82979.25651
56	82211.35013
57	80961.61539
58	79777.77717
59	79100.1958
60	78455.80024
61	77714.95666
62	76665.81754
63	76052.22078
64	75117.13472
65	74758.87
66	73995.7223
67	73598.75269
68	72935.12871
69	72350.93167
70	72016.82248
71	71449.72324
72	70967.94624
73	70037.95258
74	69540.81958
75	68653.68377
76	68095.19003
77	67561.95154
78	66814.22499
79	66356.93939
80	65845.33289
81	65424.60784
82	64889.16298
83	64472.87736
84	63923.00228
85	63316.80543
86	62729.83964
87	62165.08562
88	61613.89855
89	61238.0269
90	60764.46962
91	60549.83315
92	60256.14278
93	59683.46179
94	59268.22786
95	58942.96724
96	58602.01927
97	58061.97528
98	57698.30295
99	57260.76215
100	56920.20927
101	56345.38723
102	56008.29982
103	55744.86491
104	55392.48724
105	54903.02139
106	54511.45543
107	54199.49016
108	53672.66539
109	53256.98252
110	52834.90887
111	52463.22294
112	51983.11057
113	51664.87547
114	51407.73361
115	50998.38418
116	50575.03453
117	50226.148
118	49892.5518
119	49525.03118
120	49213.98655
121	48847.27375
122	48480.14759
123	48137.32011
124	47845.76829
125	47522.41915
126	47217.22749
127	46931.22938
128	46695.80256
129	46464.9069
130	46056.8852
131	45842.6514
132	45571.9221
133	45267.98579
134	44994.80503
135	44808.88309
136	44578.14555
137	44261.44243
138	44057.28108
139	43856.43339
140	43618.56635
141	43329.75854
142	43176.32392
143	42932.66448
144	42759.8388
145	42595.75674
146	42374.66625
147	42180.08444
148	42047.81024
149	41851.42217
150	41615.52137
151	41423.33377
152	41266.23563
153	41074.59932
154	40835.40952
155	40584.87244
156	40348.03948
157	40177.27788
158	40032.08771
159	39907.5135
160	39704.18509
161	39575.91459
162	39462.87934
163	39377.22995
164	39165.20347
165	39040.4781
166	38843.74197
167	38667.3518
168	38468.2235
169	38366.10538
170	38248.05791
171	38095.83057
172	37971.03679
173	37819.60514
174	37695.63775
175	37543.24143
176	37342.00763
177	37179.99546
178	37004.2331
179	36880.94771
180	36778.84426
181	36679.71324
182	36486.84768
183	36371.36184
184	36228.81356
185	36112.91727
186	35963.31749
187	35859.22124
188	35709.08351
189	35635.67488
190	35547.48524
191	35408.69776
192	35269.45329
193	35133.28544
194	35025.24654
195	34899.12011
196	34773.88486
197	34681.01014
198	34573.74822
199	34427.53343
200	34281.73086
201	34170.50993
202	34055.51463
203	33965.55354
204	33858.42313
205	33720.92666
206	33642.52109
207	33518.02071
208	33382.37299
209	33252.51432
210	33152.97877
211	33042.14557
212	32950.40897
213	32832.91499
214	32733.12042
215	32601.47289
216	32508.02851
217	32420.15275
218	32318.21642
219	32219.22812
220	32106.78854
221	32044.25144
222	31939.89728
223	31881.05816
224	31739.93174
225	31654.31519
226	31599.63252
227	31498.28715
228	31426.5653
229	31368.27091
230	31273.88976
231	31220.55179
232	31159.04382
233	31076.8037
234	31003.26414
235	30908.91483
236	30816.5548
237	30750.31431
238	30668.52199
239	30537.70941
240	30453.12442
241	30371.42757
242	30280.00483
243	30197.0885
244	30171.76073
245	30098.48231
246	30021.75892
247	29939.78287
248	29855.64219
249	29799.06225
250	29729.66932
251	29672.83103
252	29622.6418
253	29555.87862
254	29462.71445
255	29363.45034
256	29301.03958
257	29201.03015
258	29127.46484
259	29069.69364
260	28968.04298
261	28889.2055
262	28831.5172
263	28753.5787
264	28695.44705
265	28585.44615
266	28510.58577
267	28437.842
268	28398.43322
269	28337.6242
270	28289.66948
271	28198.84141
272	28135.20394
273	28062.99787
274	27986.22062
275	27916.59786
276	27854.72864
277	27807.96746
278	27758.77707
279	27718.38193
280	27654.25559
281	27613.57894
282	27529.81389
283	27448.52881
284	27389.81574
285	27328.71443
286	27246.30215
287	27151.07175
288	27076.44651
289	26951.96031
290	26842.16311
291	26797.6523
292	26751.0845
293	26672.8976
294	26626.15806
295	26539.64617
296	26485.62017
297	26362.88275
298	26299.52145
299	26240.67761
300	26189.24378
301	26103.17554
302	26044.86636
303	26004.2719
304	25960.19
305	25888.25773
306	25861.04054
307	25769.59965
308	25743.11389
309	25689.33278
310	25620.33833
311	25543.02386
312	25508.83815
313	25466.36229
314	25439.08578
315	25400.55352
316	25360.18194
317	25323.27892
318	25249.52401
319	25172.66647
320	25124.48015
321	25067.61362
322	25017.12931
323	24967.85753
324	24915.6799
325	24831.43248
326	24790.97618
327	24745.65618
328	24656.82963
329	24605.19274
330	24567.5637
331	24513.49606
332	24458.8765
333	24359.97947
334	24302.67962
335	24274.10388
336	24197.67004
337	24143.33228
338	24079.85361
339	23994.36981
340	23919.07085
341	23882.44547
342	23825.37742
343	23768.81118
344	23733.02477
345	23704.31961
346	23643.28767
347	23601.41871
348	23561.64397
349	23518.59589
350	23466.74642
351	23403.53385
352	23369.3447
353	23342.64236
354	23290.94593
355	23232.96858
356	23192.50437
357	23157.6181
358	23104.2777
359	23050.06062
360	22996.53709
361	22926.46603
362	22896.59681
363	22844.18383
364	22794.78827
365	22754.94362
366	22733.15629
367	22694.18246
368	22649.47418
369	22607.53349
370	22530.92028
371	22466.35643
372	22418.83485
373	22387.76804
374	22355.00627
375	22311.51162
376	22274.93008
377	22247.36522
378	22202.37451
379	22147.47193
380	22106.56725
381	22038.4793
382	22002.97064
383	21951.92453
384	21925.38374
385	21859.53516
386	21812.56956
387	21770.3118
388	21727.26627
389	21683.68066
390	21669.59633
391	21624.25593
392	21589.93128
393	21551.19785
394	21516.67737
395	21467.22725
396	21405.13775
397	21349.99134
398	21313.44085
399	21277.2007
400	21252.23649
401	21210.02763
402	21186.3747
403	21146.37881
404	21104.6048
405	21067.45451
406	21038.94426
407	21003.56698
408	20978.40399
409	20957.28845
410	20942.47944
411	20923.32614
412	20857.52676
413	20801.46761
414	20723.97785
415	20699.8625
416	20663.79686
417	20603.49252
418	20557.51705
419	20509.70048
420	20477.06047
421	20423.76379
422	20387.66239
423	20331.61848
424	20299.63259
425	20259.10048
426	20238.95919
427	20217.82231
428	20193.02811
429	20161.46892
430	20144.79876
431	20090.60165
432	20065.47469
433	20043.6825
434	20024.70222
435	20003.33911
436	19975.28818
437	19960.29148
438	19933.86173
439	19888.95605
440	19880.79106
441	19857.25772
442	19832.44542
443	19805.8861
444	19763.11228
445	19728.78031
446	19708.42365
447	19690.9395
448	19657.77923
449	19635.94798
450	19584.67911
451	19563.82664
452	19527.16487
453	19485.50584
454	19453.60983
455	19427.86496
456	19388.49797
457	19337.06727
458	19279.35475
459	19243.9308
460	19207.1236
461	19175.27591
462	19149.05201
463	19115.96386
464	19079.1206
465	19060.52011
466	19041.55966
467	19018.58455
468	18986.53976
469	18958.1419
470	18940.39075
471	18910.09858
472	18859.72393
473	18838.09789
474	18816.44856
475	18770.19771
476	18729.21269
477	18695.41165
478	18650.6329
479	18613.28896
480	18560.84324
481	18533.89185
482	18513.52398
483	18472.22333
484	18450.99649
485	18422.86773
486	18388.88607
487	18367.84716
488	18347.02092
489	18326.78375
490	18275.87183
491	18228.13947
492	18191.62107
493	18164.41795
494	18140.96496
495	18126.11357
496	18099.69551
