总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型,区,板块,楼层位置,总楼层数,室数,厅数,厨数,卫数,人均面积,楼层密度,厅室比,卫室比,总房间数,单价等级,面积等级,区域均价,区域中位价,区域价格标准差,区域房源数,相对价格指数
239万,21036元/平米,香悦花苑,鄞州区 姜山,3室1厅1厨2卫,低楼层 (共16层),113.62㎡,平层,,板塔结合,南,钢混结构,其他,一梯两户,有,2023-10-16,商品房,2018-06-18,普通住宅,暂无数据,非共有,有抵押 鄞州银行,已上传房本照片,201811133302120035,,,,,鄞州区,姜山,低楼层,16,3,1,1,2,28.405,6.683529411764706,0.25,0.5,6,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8813438736453008
145万,18679元/平米,紫御铭园,海曙区 集士港,2室2厅1厨1卫,低楼层 (共14层),77.63㎡,平层,,板楼,南,钢混结构,简装,一梯四户,有,2023-10-16,商品房,2016-10-15,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,2020051233302633035,,,,,海曙区,集士港,低楼层,14,2,2,1,1,25.876666666666665,5.175333333333333,0.6666666666666666,0.3333333333333333,5,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.7079424995285837
208万,23642元/平米,中哲时尚城,鄞州区 潘火,3室1厅1厨1卫,高楼层 (共20层),87.98㎡,平层,87.00㎡,塔楼,南,钢混结构,精装,两梯五户,有,2023-10-15,商品房,2017-10-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202103283302120083,,,,,鄞州区,潘火,高楼层,20,3,1,1,1,21.995,4.18952380952381,0.25,0.25,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7670273042603455
126万,19237元/平米,段塘牡丹新村,海曙区 段塘,2室1厅1厨1卫,低楼层 (共7层),65.50㎡,平层,,暂无数据,南,未知结构,简装,一梯三户,暂无数据,2023-10-18,商品房,1998-10-18,普通住宅,满五年,共有,无抵押,已上传房本照片,202109163302030046,,,,,海曙区,段塘,低楼层,7,2,1,1,1,21.833333333333332,8.1875,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.6151776202800107
148万,14249元/平米,东岗碶新村,北仑区 小港,3室2厅1厨1卫,高楼层 (共6层),103.87㎡,复式,,板塔结合,南 北,钢混结构,精装,一梯两户,无,2023-10-15,商品房,2014-03-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,201809213302060829,,,,,北仑区,小港,高楼层,6,3,2,1,1,25.9675,14.838571428571429,0.5,0.25,6,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,0.7891794755362379
378万,20635元/平米,蔚蓝城市花园,镇海区 庄市,3室2厅1厨2卫,低楼层 (共8层),183.19㎡,复式,,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2023-10-15,商品房,2021-08-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310153302110023,,,,,镇海区,庄市,低楼层,8,3,2,1,2,45.7975,20.354444444444443,0.5,0.5,7,2,4,2173067.729083665,1990000.0,977382.160362272,251,1.7394755855669333
268万,22844元/平米,荣安桃花源,海曙区 集士港,3室1厅1厨2卫,高楼层 (共15层),117.32㎡,平层,,暂无数据,东,未知结构,精装,一梯两户,暂无数据,2023-10-14,商品房,2020-10-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202305113302030043,,,,,海曙区,集士港,高楼层,15,3,1,1,2,29.33,7.3325,0.25,0.5,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.3084730336114514
109万,12038元/平米,明城港湾,海曙区 集士港,2室1厅1厨1卫,高楼层 (共6层),90.55㎡,平层,,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,2023-10-07,拆迁安置房,2019-10-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202109153302030011,,,,,海曙区,集士港,高楼层,6,2,1,1,1,30.183333333333334,12.935714285714285,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.5321774651628663
295万,31434元/平米,中海凤凰熙岸,鄞州区 下应,3室2厅1厨1卫,中楼层 (共20层),93.85㎡,平层,,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-14,商品房,2021-10-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310143302120038,,,,,鄞州区,下应,中楼层,20,3,2,1,1,23.4625,4.469047619047619,0.5,0.25,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.0878512247923169
196万,12611元/平米,联升佳苑,海曙区 高桥,4室2厅1厨2卫,高楼层 (共11层),155.42㎡,复式,,板楼,东南,钢混结构,毛坯,一梯两户,有,2023-10-18,拆迁安置房,2020-10-01,普通住宅,暂无数据,非共有,有抵押 100万元 100,已上传房本照片,202309123302030074,,,,,海曙区,高桥,高楼层,11,4,2,1,2,31.083999999999996,12.951666666666666,0.4,0.4,8,1,3,2048187.9432624113,1840000.0,968698.6620355729,564,0.9569429648800166
