总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型
239万,21036元/平米,香悦花苑,鄞州区 姜山,3室1厅1厨2卫,低楼层 (共16层),113.62㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,有,2023-10-16,商品房,2018-06-18,普通住宅,暂无数据,非共有,有抵押 鄞州银行,已上传房本照片,201811133302120035,None,None,None,None
145万,18679元/平米,紫御铭园,海曙区 集士港,2室2厅1厨1卫,低楼层 (共14层),77.63㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,2023-10-16,商品房,2016-10-15,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,2020051233302633035,None,None,None,None
208万,23642元/平米,中哲时尚城,鄞州区 潘火,3室1厅1厨1卫,高楼层 (共20层),87.98㎡,平层,87㎡,塔楼,南,钢混结构,精装,两梯五户,有,2023-10-15,商品房,2017-10-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202103283302120083,None,None,None,None
126万,19237元/平米,段塘牡丹新村,海曙区 段塘,2室1厅1厨1卫,低楼层 (共7层),65.5㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯三户,暂无数据,2023-10-18,商品房,1998-10-18,普通住宅,满五年,共有,无抵押,已上传房本照片,202109163302030046,None,None,None,None
148万,14249元/平米,东岗碶新村,北仑区 小港,3室2厅1厨1卫,高楼层 (共6层),103.87㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,2023-10-15,商品房,2014-03-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,201809213302060829,None,None,None,None
378万,20635元/平米,蔚蓝城市花园,镇海区 庄市,3室2厅1厨2卫,低楼层 (共8层),183.19㎡,复式,暂无数据,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2023-10-15,商品房,2021-08-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310153302110023,None,None,None,None
985万,66492元/平米,江山万里三期,鄞州区 南部商务区,4室2厅1厨2卫,低楼层 (共7层),148.14㎡,平层,133.15㎡,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2023-09-27,商品房,2020-01-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202307213302120002,None,None,None,None
268万,22844元/平米,荣安桃花源,海曙区 集士港,3室1厅1厨2卫,高楼层 (共15层),117.32㎡,平层,暂无数据,暂无数据,东,未知结构,精装,一梯两户,暂无数据,2023-10-14,商品房,2020-10-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202305113302030043,None,None,None,None
109万,12038元/平米,明城港湾,海曙区 集士港,2室1厅1厨1卫,高楼层 (共6层),90.55㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,2023-10-07,拆迁安置房,2019-10-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202109153302030011,None,None,None,None
295万,31434元/平米,中海凤凰熙岸,鄞州区 下应,3室2厅1厨1卫,中楼层 (共20层),93.85㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-14,商品房,2021-10-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310143302120038,None,None,None,None
196万,12611元/平米,联升佳苑,海曙区 高桥,4室2厅1厨2卫,高楼层 (共11层),155.42㎡,复式,暂无数据,板楼,东南,钢混结构,毛坯,一梯两户,有,2023-10-18,拆迁安置房,2020-10-01,普通住宅,暂无数据,非共有,有抵押 100万元 100,已上传房本照片,202309123302030074,None,None,None,None
155万,15078元/平米,江南水岸,海曙区 高桥,3室2厅1厨1卫,低楼层 (共18层),102.8㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯三户,有,2023-10-15,拆迁安置房,2021-10-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310153302030020,None,None,None,None
459万,28789元/平米,锦悦湾花苑,鄞州区 首南,4室2厅1厨2卫,低楼层 (共33层),159.44㎡,平层,128㎡,板塔结合,南,钢混结构,简装,两梯两户,有,2023-10-11,商品房,2016-11-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202003113302120093,None,None,None,None
131万,14124元/平米,宁南新城盈园,奉化区 方桥,3室2厅1厨1卫,低楼层 (共18层),92.75㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯四户,暂无数据,2023-10-15,商品房,2020-10-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310163302830005,None,None,None,None
89万,15345元/平米,东升新村,北仑区 戚家山,2室1厅1厨1卫,中楼层 (共7层),58㎡,平层,50㎡,暂无数据,南 北,混合结构,简装,一梯两户,无,2023-10-17,商品房,2015-10-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202304173302060069,None,None,None,None
188万,26409元/平米,太古城,鄞州区 东柳,3室1厅1厨1卫,中楼层 (共8层),71.19㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2023-10-15,商品房,2019-07-18,普通住宅,满两年,非共有,有抵押 50万元 业主自还,已上传房本照片,202310173302120033,None,None,None,None
340万,19446元/平米,枫丹公寓,鄞州区 东柳,6室1厅1厨2卫,中楼层 (共10层),174.85㎡,平层,159.13㎡,板塔结合,南,框架结构,简装,一梯两户,有,2023-10-09,商品房,2010-10-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202104213302120128,None,None,None,None
68万,7690元/平米,绿地海湾丽海苑,杭州湾新区 杭州湾新区,3室2厅1厨1卫,中楼层 (共22层),88.43㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,2023-10-15,商品房,2021-03-08,普通住宅,暂无数据,非共有,有抵押 47万元 中信银行,已上传房本照片,111441,None,None,None,None
225万,18857元/平米,橄榄树雅苑,海曙区 集士港,3室2厅1厨2卫,低楼层 (共14层),119.32㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2023-09-28,商品房,2016-09-07,普通住宅,暂无数据,非共有,有抵押 38万元,已上传房本照片,202310043302030017,None,None,None,None
240万,20809元/平米,洋江水岸,鄞州区 下应,3室2厅1厨1卫,高楼层 (共33层),115.34㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2023-10-03,商品房,2020-10-03,普通住宅,暂无数据,非共有,有抵押 200万元 业主自还,已上传房本照片,202305053302120119,None,None,None,None
242万,23319元/平米,领秀熙城,海曙区 集士港,3室2厅1厨1卫,高楼层 (共13层),103.78㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2023-09-23,商品房,2019-05-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309233302030015,None,None,None,None
179万,19112元/平米,水木清华,海曙区 集士港,3室2厅1厨1卫,中楼层 (共15层),93.66㎡,平层,75.49㎡,板楼,南,钢混结构,精装,两梯四户,有,2023-09-23,商品房,2013-12-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309233302030023,None,None,None,None
145万,18994元/平米,北路一村,海曙区 石碶,3室1厅1厨1卫,中楼层 (共7层),76.34㎡,平层,69.09㎡,板楼,南,混合结构,精装,一梯两户,无,2023-10-06,商品房,2019-09-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202310063302030035,None,None,None,None
162万,23431元/平米,和泰雅苑,鄞州区 新明,2室2厅1厨1卫,低楼层 (共17层),69.14㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2023-09-24,商品房,2017-08-13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20200819330212002805001A,None,None,None,None
218万,16591元/平米,舜江名苑西区,余姚市 东风,3室1厅1厨2卫,中楼层 (共5层),131.4㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯两户,无,2023-10-13,商品房,2004-04-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202105253302810047,None,None,None,None
370万,26583元/平米,公元世家一期,镇海区 庄市,4室2厅1厨2卫,中楼层 (共17层),139.19㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,2023-09-08,商品房,2015-06-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202303103302110038,None,None,None,None
598万,36753元/平米,荣安府,鄞州区 南部商务区,4室2厅1厨2卫,低楼层 (共35层),162.71㎡,平层,125.86㎡,板塔结合,南,钢混结构,精装,两梯两户,有,2023-04-16,商品房,2013-05-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202304163302120053,None,None,None,None
238万,18513元/平米,芳辰丽阳北园,镇海区 庄市,4室2厅1厨2卫,高楼层 (共9层),128.56㎡,平层,128.56㎡,板塔结合,南,钢混结构,简装,一梯两户,有,2023-05-10,商品房,2021-03-10,普通住宅,暂无数据,非共有,有抵押 160万元,已上传房本照片,202302123302110027,None,None,None,None
300万,34181元/平米,雅戈尔锦绣东城,鄞州区 东部新城,3室2厅1厨1卫,低楼层 (共18层),87.77㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯三户,有,2023-09-20,商品房,2016-09-01,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,2023021330212009105001A,None,None,None,None
