单价,建筑面积,总楼层数,室数,厅数,卫数,人均面积,楼层密度,厅室比,卫室比,总房间数,单价等级,面积等级,区域均价,区域中位价,区域价格标准差,区域房源数,相对价格指数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
21036.0,113.62,16,3,1,2,28.405,6.683529411764706,0.25,0.5,6,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8813438736453008,8,30,1,17,0,3,5,0,4,2,1,2390000.0
18679.0,77.63,14,2,2,1,25.876666666666665,5.175333333333333,0.6666666666666666,0.3333333333333333,5,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.7079424995285837,6,83,1,17,2,4,5,0,4,2,1,1450000.0
23642.0,87.98,20,3,1,1,21.995,4.18952380952381,0.25,0.25,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7670273042603455,8,60,2,17,3,0,5,0,4,2,0,2080000.0
19237.0,65.5,7,2,1,1,21.833333333333332,8.1875,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.6151776202800107,6,55,1,17,2,2,0,0,4,1,0,1260000.0
14249.0,103.87,6,3,2,1,25.9675,14.838571428571429,0.5,0.25,6,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,0.7891794755362379,1,33,2,20,3,3,5,0,4,0,0,1480000.0
20635.0,183.19,8,3,2,2,45.7975,20.354444444444443,0.5,0.5,7,2,4,2173067.729083665,1990000.0,977382.160362272,251,1.7394755855669333,9,34,1,17,3,2,0,0,4,1,1,3780000.0
22844.0,117.32,15,3,1,2,29.33,7.3325,0.25,0.5,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.3084730336114514,6,83,2,0,3,2,0,0,4,1,0,2680000.0
12038.0,90.55,6,2,1,1,30.183333333333334,12.935714285714285,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.5321774651628663,6,83,2,17,1,4,5,2,4,1,1,1090000.0
31434.0,93.85,20,3,2,1,23.4625,4.469047619047619,0.5,0.25,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.0878512247923169,8,0,0,17,3,4,5,0,4,1,1,2950000.0
12611.0,155.42,11,4,2,2,31.083999999999996,12.951666666666666,0.4,0.4,8,1,3,2048187.9432624113,1840000.0,968698.6620355729,564,0.9569429648800166,6,89,2,13,1,4,5,2,4,2,1,1960000.0
15078.0,102.8,18,3,2,1,25.7,5.410526315789474,0.5,0.25,6,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.7567661201857274,6,89,1,17,1,3,5,2,4,2,1,1550000.0
28789.0,159.44,33,4,2,2,31.887999999999998,4.689411764705882,0.4,0.4,8,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.6926227531514355,8,85,1,17,2,3,5,0,4,2,0,4590000.0
14124.0,92.75,18,3,2,1,23.1875,4.881578947368421,0.5,0.25,6,1,1,1278558.8235294118,1290000.0,384450.8928659952,68,1.024590305351375,2,45,1,20,0,4,5,0,4,1,1,1310000.0
15345.0,58.0,7,2,1,1,19.333333333333332,7.25,0.3333333333333333,0.3333333333333333,4,1,0,1875364.5484949832,1800000.0,855438.6591359673,299,0.4745741440724674,1,38,0,20,2,2,2,0,4,0,1,890000.0
26409.0,71.19,8,3,1,1,17.7975,7.91,0.25,0.25,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.6932746788506968,8,2,0,17,3,4,4,0,4,0,1,1880000.0
19446.0,174.85,10,6,1,2,24.978571428571428,15.895454545454545,0.14285714285714285,0.2857142857142857,9,2,4,2711766.8711656444,2500000.0,1329556.3519404833,978,1.2537946319640263,8,2,0,17,2,3,1,0,4,2,1,3400000.0
7690.0,88.43,22,3,2,1,22.1075,3.8447826086956525,0.5,0.25,6,0,1,853969.1358024691,830000.0,286526.62766007404,162,0.7962807731689695,4,50,0,17,3,2,0,0,4,2,1,680000.0
18857.0,119.32,14,3,2,2,29.83,7.954666666666666,0.5,0.5,7,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.0985314647857334,6,83,1,17,3,4,5,0,4,2,1,2250000.0
20809.0,115.34,33,3,2,1,28.835,3.392352941176471,0.5,0.25,6,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8850315049157832,8,0,2,17,2,4,5,0,4,2,1,2400000.0
23319.0,103.78,13,3,2,1,25.945,7.412857142857143,0.5,0.25,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.1815316199028776,6,83,2,17,3,4,5,0,4,2,1,2420000.0
19112.0,93.66,15,3,2,1,23.415,5.85375,0.5,0.25,6,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.8739428097628723,6,83,0,17,3,4,5,0,4,2,1,1790000.0
18994.0,76.34,7,3,1,1,19.085,9.5425,0.25,0.25,5,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.7079424995285837,6,69,0,17,3,4,2,0,4,0,0,1450000.0
23431.0,69.14,17,2,2,1,23.046666666666667,3.841111111111111,0.6666666666666666,0.3333333333333333,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.5973962658181536,8,43,1,17,3,4,5,0,4,2,1,1620000.0
16591.0,131.4,5,3,1,2,32.85,21.900000000000002,0.25,0.5,6,1,3,1752745.7627118644,1620000.0,866516.1238370968,59,1.2437621032185424,0,6,0,17,0,4,4,0,4,0,1,2180000.0
26583.0,139.19,17,4,2,2,27.838,7.732777777777778,0.4,0.4,8,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.7026612874596967,9,34,0,17,3,3,5,0,4,1,1,3700000.0
36753.0,162.71,35,4,2,2,32.542,4.519722222222223,0.4,0.4,8,4,4,2711766.8711656444,2500000.0,1329556.3519404833,978,2.2052034997484933,8,16,1,17,3,3,5,0,4,2,1,5980000.0
18513.0,128.56,9,4,2,2,25.712,12.856,0.4,0.4,8,1,3,2173067.729083665,1990000.0,977382.160362272,251,1.0952253686902913,9,34,2,17,2,3,5,0,4,2,1,2380000.0
34181.0,87.77,18,3,2,1,21.9425,4.619473684210526,0.5,0.25,6,3,1,2711766.8711656444,2500000.0,1329556.3519404833,978,1.106289381144729,8,4,1,17,0,4,5,0,4,2,1,3000000.0
26040.0,128.65,18,4,2,2,25.73,6.771052631578947,0.4,0.4,8,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.541598733240536,9,34,2,17,0,3,5,0,4,1,0,3350000.0
15358.0,112.0,10,3,1,1,28.0,10.181818181818182,0.25,0.25,5,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,0.9171545256231954,1,44,1,17,3,4,5,0,4,2,1,1720000.0
15913.0,80.44,11,2,1,1,26.813333333333333,6.703333333333333,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.6249423444114395,6,89,2,17,1,3,5,2,4,2,1,1280000.0
26258.0,139.01,33,4,2,2,27.802,4.088529411764705,0.4,0.4,8,2,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.345985413726087,8,0,2,13,3,4,5,0,4,2,1,3650000.0
33684.0,118.16,18,3,1,2,29.54,6.218947368421053,0.25,0.5,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.467677245652007,8,88,2,17,3,4,5,0,4,2,1,3980000.0
18230.0,99.84,18,3,2,1,24.96,5.254736842105263,0.5,0.25,6,1,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.6711488912278023,8,30,2,17,1,3,5,2,4,1,0,1820000.0
17638.0,88.45,22,3,2,1,22.1125,3.845652173913044,0.5,0.25,6,1,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.8318378255652238,1,33,1,17,2,2,0,0,4,1,1,1560000.0
6476.0,91.11,33,2,2,1,30.37,2.679705882352941,0.6666666666666666,0.3333333333333333,5,0,1,853969.1358024691,830000.0,286526.62766007404,162,0.6908906708377824,4,50,0,17,2,4,5,0,4,2,1,590000.0
15075.0,80.93,18,2,2,1,26.97666666666667,4.259473684210526,0.6666666666666666,0.3333333333333333,5,1,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.4498910149988565,8,10,1,17,1,4,5,2,4,1,1,1220000.0
6395.0,115.73,24,3,2,2,28.9325,4.6292,0.5,0.5,7,0,2,853969.1358024691,830000.0,286526.62766007404,162,0.866540841389761,4,50,1,17,1,2,0,0,4,1,1,740000.0
31835.0,118.74,8,3,2,2,29.685,13.193333333333333,0.5,0.5,7,3,2,2173067.729083665,1990000.0,977382.160362272,251,1.7394755855669333,9,34,0,17,3,4,5,0,4,1,1,3780000.0
27440.0,82.0,19,3,2,1,20.5,4.1,0.5,0.25,6,3,1,2173067.729083665,1990000.0,977382.160362272,251,1.0354021342660318,9,34,2,17,3,2,5,0,4,2,1,2250000.0
13461.0,95.09,16,2,2,1,31.69666666666667,5.593529411764706,0.6666666666666666,0.3333333333333333,5,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,0.6825336004637733,1,33,2,17,2,3,5,0,4,2,0,1280000.0
21111.0,57.79,18,2,1,1,19.263333333333332,3.041578947368421,0.3333333333333333,0.3333333333333333,4,2,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.4498910149988565,8,30,1,0,3,3,5,0,4,2,1,1220000.0
21844.0,48.07,7,2,1,1,16.023333333333333,6.00875,0.3333333333333333,0.3333333333333333,4,2,0,2048187.9432624113,1840000.0,968698.6620355729,564,0.5126480169000089,6,64,0,17,3,3,5,0,4,0,0,1050000.0
8618.0,168.27,16,4,2,2,33.654,9.898235294117647,0.4,0.4,8,0,4,1752745.7627118644,1620000.0,866516.1238370968,59,0.8272729585627919,0,12,0,17,1,2,0,0,4,1,1,1450000.0
