单价,建筑面积,总楼层数,室数,厅数,卫数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
23870.0,138.25,6,4,2,2,5,60,2,17,3,5,5,0,4,0,1,3300000.0
33929.0,100.21,20,3,2,1,8,61,1,17,3,4,1,0,4,2,1,3400000.0
12391.0,101.69,14,3,2,1,2,28,2,20,3,5,5,0,4,2,1,1260000.0
22838.0,135.74,16,4,2,2,5,60,2,17,3,4,5,0,4,1,1,3100000.0
18091.0,99.5,7,3,2,1,6,90,0,17,3,5,4,0,4,0,1,1800000.0
20845.0,58.53,17,1,1,1,8,1,2,17,1,0,5,0,4,2,1,1220000.0
7696.0,194.93,33,3,2,3,4,51,2,17,3,5,5,0,4,1,0,1500000.0
30190.0,125.87,9,3,2,1,5,57,0,18,1,5,5,0,4,1,1,3800000.0
26137.0,164.52,52,3,2,2,8,4,2,12,2,5,5,0,4,2,1,4300000.0
22717.0,125.46,5,4,2,2,6,19,0,17,3,5,5,0,4,1,0,2850000.0
20626.0,104.24,18,3,1,1,8,86,1,17,1,4,5,2,4,2,1,2150000.0
23916.0,53.94,17,2,2,1,8,31,0,25,3,4,5,0,4,2,1,1290000.0
18964.0,55.37,10,2,1,1,5,36,1,17,1,5,5,0,4,0,1,1050000.0
22611.0,69.88,4,3,1,1,6,65,0,17,3,2,0,0,4,1,1,1580000.0
22183.0,105.04,34,3,2,2,6,90,1,20,3,0,5,0,4,2,0,2330000.0
14010.0,157.04,7,5,2,2,8,1,2,17,1,5,5,0,4,0,1,2200000.0
40641.0,127.95,16,3,2,2,8,82,0,17,3,5,5,0,4,2,1,5200000.0
25642.0,68.64,7,2,1,1,8,71,0,17,0,5,4,0,4,0,1,1760000.0
19320.0,95.76,11,3,2,1,6,84,2,17,3,5,5,2,4,2,0,1850000.0
